"Species","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Butyricimonas unclassified_species",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"Mucilaginibacter ximonensis",29,28,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium unclassified_species",0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0
"Clostridium ruminantium",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrogenophaga palleronii",0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
"Woodsholea maritima",6,0,0,66,0,0,0,4,0,23,8,5,0,0,0,0
"Rhodoferax unclassified_species",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novosphingobium unclassified_species",12,29,0,33,0,0,0,0,0,0,0,0,7,0,0,0
"Demequina unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Actinomyces unclassified_species",23,0,0,0,27,12,24,15,0,0,0,349,0,12,0,0
"Microlunatus unclassified_species",31,41,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Wolinella succinogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Ruminococcus bromii",0,0,0,17,0,0,0,0,0,0,0,0,19,0,0,0
"Planifilum unclassified_species",0,0,0,25,0,0,0,0,0,0,6,3,0,0,0,0
"Luteolibacter unclassified_species",0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
"Acinetobacter guillouiae",46,0,0,50,8,0,0,17,0,27,0,16,23,19,0,0
"Nitrospira unclassified_species",38,55,11,28,0,0,0,0,0,10,0,13,0,12,0,9
"Photobacterium angustum",0,0,0,0,7,0,14,0,11,0,0,0,0,0,0,0
"Butyrivibrio unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,6,5,0,0
"Arenimonas unclassified_species",0,0,0,87,0,0,0,0,0,23,0,0,0,0,0,0
"Ktedonobacter racemifer",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Luteococcus unclassified_species",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium celatum",0,0,0,11,0,0,0,0,0,0,0,9,16,18,0,0
"Roseburia inulinivorans",41,11,0,20,0,0,0,0,0,22,0,0,0,24,0,0
"Staphylococcus succinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"Sphingosinicella microcystinivorans",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Geodermatophilus obscurus",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylibium unclassified_species",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacterium unclassified_species",0,6,0,0,6,0,0,0,0,0,0,6,9,8,0,31
"Selenomonas unclassified_species",20,0,0,4,0,0,0,0,0,7,0,9,0,15,0,0
"Blastococcus saxobsidens",20,0,0,5,0,0,4,0,0,0,0,0,0,13,0,0
"Salinibacterium unclassified_species",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"Virgisporangium unclassified_species",10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysobacter yangpyeongensis",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Chryseobacterium unclassified_species",34,19,0,43,90,0,0,0,0,0,0,0,0,0,0,6
"Sporosarcina ginsengi",133,145,0,39,0,15,0,0,0,31,0,0,0,51,0,0
"Nonomuraea unclassified_species",9,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Mycetocola unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"4-29 unclassified_species",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Halomonas campisalis",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Euzebya unclassified_species",0,0,0,7,0,0,3,0,0,0,0,7,0,0,0,0
"Dorea formicigenerans",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Corynebacterium stationis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Paenibacillus unclassified_species",13,28,0,0,0,0,0,0,0,0,0,6,13,20,0,17
"Alloiococcus unclassified_species",0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0
"Photobacterium unclassified_species",0,0,0,0,0,0,0,172,128,0,0,0,77,0,3903,0
"Bulleidia unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Novosphingobium resinovorum",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfotalea unclassified_species",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Lactobacillus salivarius",46,26,17,131,29,34,31,23,0,0,0,45,56,24,29,64
"Thermicanus unclassified_species",0,0,0,0,0,0,0,0,0,0,0,7,14,7,6,10
"Anaerolinea unclassified_species",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter sulfureus",0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0
"Beijerinckia unclassified_species",23,20,0,0,0,0,0,0,0,0,0,15,43,32,7,0
"Flavobacterium succinicans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Planctomyces unclassified_species",4,3,0,6,0,0,0,0,0,0,0,5,0,0,0,0
"Granulicella paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Parabacteroides unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
